Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
19-Feb-2009,9.4,0,1.43,0.67,0.56,0.84,0.08,0.52,0.99
20-Feb-2009,5.64,0,2.19,0.53,0.57,0.78,0.15,0.69,0.61
21-Feb-2009,4.51,0,1.84,0.97,0.41,1.14,0.22,1.14,0.32
22-Feb-2009,5.23,0,2.3,1.6,0.53,1.88,0.19,1,0.26
23-Feb-2009,3.44,0,3.44,1.25,0.41,1.27,0.39,0.93,0.39
24-Feb-2009,4.61,0,2.16,1.63,1.11,2.56,0.1,0.39,0.23
25-Feb-2009,5.26,0,2.04,2.21,1.38,3.39,0.74,0.47,1
26-Feb-2009,4.61,0,3.5,1.49,1.04,2.96,0.71,0.33,1.19
27-Feb-2009,4.21,0,2.73,1.15,1.17,2.18,0.75,0.3,0.63
28-Feb-2009,2.58,0,2.3,1.1,1.47,2.73,0.65,0.14,0.75
01-Mar-2009,4.34,0,4.95,1.29,0.54,1.79,0.29,0.41,0.39
02-Mar-2009,5.25,0,1.52,1.9,1.51,0.86,0.54,1.01,0.67
03-Mar-2009,5.5,0,2.15,1.79,1.78,2.11,0.23,1.5,0.75
04-Mar-2009,3.34,0,2.48,1.34,1.7,2.43,0.61,0.57,0.54
06-Mar-2009,10.86,0,2.91,2.05,1.75,3,0.03,0.19,0.35
07-Mar-2009,5.17,0,1.38,2.38,1.63,3.66,0.2,0.41,0.46
08-Mar-2009,7.12,0,3.07,0.82,0.31,1.52,0.11,0.84,0.53
09-Mar-2009,8.4,0,1.88,2.5,1.35,2.63,0.5,1.11,1.26
10-Mar-2009,6.28,0,2.29,4.88,2.74,2.74,0.17,0.66,0.54
11-Mar-2009,6.43,0,2.4,2.15,1.08,2.88,0.06,0.95,0.21
12-Mar-2009,4.97,0,1.67,2.06,0.71,3.03,0.23,0.92,0.27
13-Mar-2009,4.55,0,1.73,2.56,0.72,1.86,0.07,0.9,0.43
14-Mar-2009,4.55,0,2.65,1.42,0.68,1.82,0.07,0.8,0.51
15-Mar-2009,5.22,0,1.85,1.04,0.86,1.75,0.22,0.43,0.36
16-Mar-2009,5.46,0,2.45,1.6,0.96,2.19,0.18,0.62,0.32
17-Mar-2009,3.92,0,2.02,0.95,0.73,1.73,0.37,0.47,0.52
18-Mar-2009,2.31,0,1.6,1.77,0.6,1.42,0.16,0.54,0.32
19-Mar-2009,3.94,0,2.45,2.35,2.17,2.56,0.06,0.59,0.64
20-Mar-2009,3.79,0,1.71,0.59,0.8,1.37,0.04,0.52,0.73
21-Mar-2009,4.83,0,1,0.2,0.19,1.32,0.21,0.25,0.54
22-Mar-2009,6.15,0,1.51,0.09,0.34,1.38,0.47,0.56,1.17
23-Mar-2009,8.84,0,0.45,0.5,0.57,0.74,0.05,0.3,0.52
24-Mar-2009,3.8,0,1.34,0.46,0.32,1.17,0.24,0.99,0.38
25-Mar-2009,4.42,0,0.71,1.03,0.9,1.94,0.55,0.47,0.62
26-Mar-2009,5.56,0,1.44,0.71,0.74,1.75,0.47,0.97,0.77
27-Mar-2009,4.85,0,1.37,2.65,2.29,2.99,0.64,0.75,0.56
28-Mar-2009,9.13,0,0.89,1.5,1.41,1.83,0.61,0.54,0.44
29-Mar-2009,2.15,0,0.5,0.33,0.2,0.55,0.06,0.63,0.58
30-Mar-2009,2.15,0,0.44,1.35,1.19,1.37,0.06,0.15,0.39
31-Mar-2009,7.88,0,0.84,2.39,1.83,3.63,0.13,0.44,1.34
01-Apr-2009,17.66,0,0.93,0.9,0.34,3.55,0.61,0.2,1.91
02-Apr-2009,19.19,0,0.91,2.16,0.18,1.13,0.2,0.24,0.72
03-Apr-2009,8.69,0,3.29,2.05,0.28,0.91,0.22,0.49,0.53
04-Apr-2009,6.28,0,2.13,1.08,0.22,1.28,0.11,0.63,0.95
05-Apr-2009,7.34,0,2.19,1.5,0.08,2.03,0.01,0.3,0.42
07-Apr-2009,11.2,0,1.47,0.93,0.34,2.28,0.18,0.38,1.01
08-Apr-2009,8.98,0,0.91,0.44,0.31,1.68,0.83,0.45,1.16
09-Apr-2009,6.31,0,1.88,1,1.13,2.29,1.01,0.53,1.31
10-Apr-2009,6.48,0,1.34,1.11,0.05,1.87,0.17,0.34,0.67
11-Apr-2009,7.33,0,1.79,1.22,1.11,0.91,0.33,1.36,1.08
12-Apr-2009,5.17,0,2.48,0.69,0.43,0.97,0.66,0.52,1.21
13-Apr-2009,7.12,0,1.17,0.36,0.35,0.49,0.11,1.02,1.58
14-Apr-2009,7.04,0,0.38,0.54,0.39,1.14,0.36,0.55,1.78
15-Apr-2009,6.87,0,0.22,0.96,0.65,1.63,0.16,0.31,0.84
16-Apr-2009,5.47,0,1.34,0.66,0.22,1.05,0.11,0.38,0.58
17-Apr-2009,4.77,0,1.08,0.9,0.73,1.19,0.12,0.32,1.15
18-Apr-2009,2.21,0,2.79,0.83,0.65,1.25,0.11,0.2,0.8
19-Apr-2009,7.77,0,3.41,0.55,0.55,0.84,0.39,0.45,0.73
20-Apr-2009,13.26,0,2.54,1.31,1,1.9,0.4,0.5,2.52
21-Apr-2009,6.08,0,2.29,0.98,0.58,1.15,0.13,0.29,0.88
22-Apr-2009,4.23,0,3.32,0.81,0.28,1.21,0.12,0.87,0.78
23-Apr-2009,6.99,0,2.49,1.08,0.71,2.38,0.7,0.71,1.15
24-Apr-2009,9.29,0,0.89,1.02,0.82,1.74,0.11,0.4,1.22
25-Apr-2009,16.51,0,2.32,0.58,0.24,0.88,0.09,0.36,0.73
26-Apr-2009,8.15,0,0.6,1.43,0.72,1.47,0.21,1.58,1.12
27-Apr-2009,6.89,0,0.61,0.8,0.5,0.58,0.07,0.74,1.97
28-Apr-2009,13.88,0,1.16,0.53,0.14,0.68,0.06,0.69,2.07
29-Apr-2009,7.53,0,0.9,1.17,0.77,1.1,0.1,1.01,1.28
30-Apr-2009,6.7,0,1.3,0.29,0.31,0.89,0.15,0.32,1.61
01-May-2009,8.98,0,0.85,0.4,0.55,0.89,0.15,0.3,3.39
02-May-2009,5.26,0,0.98,0.17,0.07,0.27,0.08,0.48,5.02
03-May-2009,5.64,0,0.47,0.19,1.11,1.08,0.26,0.66,3.74
04-May-2009,8.16,0,1.19,0.3,0.2,1.04,0.68,0.18,3.96
05-May-2009,10.82,0,0.54,0.63,0.22,1.13,0.34,0.2,2.96
06-May-2009,17.7,0,1.8,0.26,0.13,2.53,2.23,0.19,5.26
07-May-2009,13.81,0,1.23,0.67,0.42,1.37,0.78,0.48,4.57
09-May-2009,7.49,0,1.34,0.23,0.13,0.76,0.22,1.06,3.31
10-May-2009,16.14,0,1.29,0.52,0.52,1.95,0.54,0.36,4.02
